type,word,count,substituted_with
substitution,thought,1,i
substitution,care,1,dream
substitution,care,1,got
substitution,had,1,wanted
substitution,had,1,hit
substitution,had,1,cant
substitution,had,1,glad
substitution,had,1,him
substitution,had,1,the
substitution,dream,1,when
substitution,everything,1,up
substitution,wanted,1,see
substitution,but,1,you
substitution,but,1,if
substitution,but,1,with
substitution,but,1,think
substitution,but,1,ay
substitution,but,1,get
substitution,but,1,17
substitution,but,1,never
substitution,but,1,till
substitution,but,1,the
substitution,but,1,again
substitution,wake,1,and
substitution,paint,1,pain
substitution,any,1,when
substitution,any,1,my
substitution,any,1,yeah
substitution,storm,1,its
substitution,facing,1,pissing
substitution,will,1,the
substitution,will,1,theres
substitution,will,1,whisper
substitution,blow,1,car
substitution,put,1,but
substitution,put,1,lick
substitution,put,1,to
substitution,put,1,and
substitution,pullin,1,eboot
substitution,coupe,1,eboot
substitution,at,1,eboot
substitution,at,1,really
substitution,at,1,wanna
substitution,at,1,the
substitution,at,1,do
substitution,at,1,and
substitution,lot,1,pulling
substitution,lot,1,want
substitution,lot,1,i
substitution,lot,1,you
substitution,told,1,out
substitution,told,2,so
substitution,fuck,1,coupe
substitution,fuck,1,the
substitution,fuck,1,real
substitution,fuck,1,my
substitution,12,1,at
substitution,swat,1,lot
substitution,bustin,1,told
substitution,bells,1,12
substitution,box,1,bustin
substitution,box,1,just
substitution,box,1,put
substitution,lick,1,the
substitution,lick,1,things
substitution,stick,1,box
substitution,mmh,1,the
substitution,pour,1,stick
substitution,whole,1,box
substitution,whole,1,trips
substitution,damn,1,pour
substitution,damn,1,she
substitution,seal,1,up
substitution,ima,1,the
substitution,ima,1,wont
substitution,get,1,whole
substitution,get,1,on
